,sentence,position,gold,syntactic_role,number
19,"First, the owner opened the doors. Then, she closed them.",independent,"the doors,them",obj,plural
20,"First the owner opened them, and then she closed the doors.",cataphora,"them,the doors",obj,plural
21,"First the owner bought the houses, and then she sold them.",subordinate,"the houses,them",obj,plural
22,"First, the owner bought the houses. Then, she sold them.",independent,"the houses,them",obj,plural
23,"First the owner bought them, and then she sold the houses.",cataphora,"them,the houses",obj,plural
24,"First the owner opened the doors, and then she shut them.",subordinate,"the doors,them",obj,plural
25,"First, the owner opened the doors. Then, she shut them.",independent,"the doors,them",obj,plural
26,"First the owner opened them, and then she shut the doors.",cataphora,"them,the doors",obj,plural
27,"First the author asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
28,"First, the author asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
29,"First the author asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
30,"First the author asks the questions, and then she answers them.",subordinate,"the questions,them",obj,plural
31,"First, the author asks the questions. Then, she answers them.",independent,"the questions,them",obj,plural
32,"First the author asks them, and then she answers the questions.",cataphora,"them,the questions",obj,plural
33,"First the author wrote the essays, and then she edited them.",subordinate,"the essays,them",obj,plural
34,"First, the author wrote the essays. Then, she edited them.",independent,"the essays,them",obj,plural
35,"First the author wrote them, and then she edited the essays.",cataphora,"them,the essays",obj,plural
36,"First the lady opened the doors, and then she closed them.",subordinate,"the doors,them",obj,plural
37,"First, the lady opened the doors. Then, she closed them.",independent,"the doors,them",obj,plural
38,"First the lady opened them, and then she closed the doors.",cataphora,"them,the doors",obj,plural
39,"First the lady opened the doors, and then she shut them.",subordinate,"the doors,them",obj,plural
40,"First, the lady opened the doors. Then, she shut them.",independent,"the doors,them",obj,plural
41,"First the lady opened them, and then she shut the doors.",cataphora,"them,the doors",obj,plural
42,"First the lady shook the hands, and then she kissed them.",subordinate,"the hands,them",obj,plural
43,"First, the lady shook the hands. Then, she kissed them.",independent,"the hands,them",obj,plural
44,"First the lady shook them, and then she kissed the hands.",cataphora,"them,the hands",obj,plural
45,"First the bride met the groom, and then she married them.",subordinate,"the groom,them",obj,plural
46,"First, the bride met the groom. Then, she married them.",independent,"the groom,them",obj,plural
47,"First the bride met them, and then she married the groom.",cataphora,"them,the groom",obj,plural
48,"First the bride married the groom, and then she divorced them.",subordinate,"the groom,them",obj,plural
49,"First, the bride married the groom. Then, she divorced them.",independent,"the groom,them",obj,plural
50,"First the bride married them, and then she divorced the groom.",cataphora,"them,the groom",obj,plural
51,"First the bride asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
52,"First, the bride asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
53,"First the bride asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
54,"First the daughter married the son, and then she divorced them.",subordinate,"the son,them",obj,plural
55,"First, the daughter married the son. Then, she divorced them.",independent,"the son,them",obj,plural
56,"First the daughter married them, and then she divorced the son.",cataphora,"them,the son",obj,plural
57,"First the daughter asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
58,"First, the daughter asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
59,"First the daughter asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
60,"First the daughter married the son, and then she left them.",subordinate,"the son,them",obj,plural
61,"First, the daughter married the son. Then, she left them.",independent,"the son,them",obj,plural
62,"First the daughter married them, and then she left the son.",cataphora,"them,the son",obj,plural
63,"First the model made the mistakes, and then she corrected them.",subordinate,"the mistakes,them",obj,plural
64,"First, the model made the mistakes. Then, she corrected them.",independent,"the mistakes,them",obj,plural
65,"First the model made them, and then she corrected the mistakes.",cataphora,"them,the mistakes",obj,plural
66,"First the model made the mistakes, and then she fixed them.",subordinate,"the mistakes,them",obj,plural
67,"First, the model made the mistakes. Then, she fixed them.",independent,"the mistakes,them",obj,plural
68,"First the model made them, and then she fixed the mistakes.",cataphora,"them,the mistakes",obj,plural
69,"First the model makes the mistakes, and then she fixes them.",subordinate,"the mistakes,them",obj,plural
70,"First, the model makes the mistakes. Then, she fixes them.",independent,"the mistakes,them",obj,plural
71,"First the model makes them, and then she fixes the mistakes.",cataphora,"them,the mistakes",obj,plural
72,"First the sister asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
73,"First, the sister asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
74,"First the sister asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
75,"First the sister married the brother, and then she divorced them.",subordinate,"the brother,them",obj,plural
76,"First, the sister married the brother. Then, she divorced them.",independent,"the brother,them",obj,plural
77,"First the sister married them, and then she divorced the brother.",cataphora,"them,the brother",obj,plural
78,"First the sister cooked the eggs, and then she boiled them.",subordinate,"the eggs,them",obj,plural
79,"First, the sister cooked the eggs. Then, she boiled them.",independent,"the eggs,them",obj,plural
80,"First the sister cooked them, and then she boiled the eggs.",cataphora,"them,the eggs",obj,plural
81,"First the actress asks the questions, and then she answers them.",subordinate,"the questions,them",obj,plural
82,"First, the actress asks the questions. Then, she answers them.",independent,"the questions,them",obj,plural
83,"First the actress asks them, and then she answers the questions.",cataphora,"them,the questions",obj,plural
84,"First the actress speaks the lines, and then she sings them.",subordinate,"the lines,them",obj,plural
85,"First, the actress speaks the lines. Then, she sings them.",independent,"the lines,them",obj,plural
86,"First the actress speaks them, and then she sings the lines.",cataphora,"them,the lines",obj,plural
87,"First the actress asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
88,"First, the actress asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
89,"First the actress asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
90,"First the photographer takes the photos, and then she edits them.",subordinate,"the photos,them",obj,plural
91,"First, the photographer takes the photos. Then, she edits them.",independent,"the photos,them",obj,plural
92,"First the photographer takes them, and then she edits the photos.",cataphora,"them,the photos",obj,plural
93,"First the photographer took the photos, and then she edited them.",subordinate,"the photos,them",obj,plural
94,"First, the photographer took the photos. Then, she edited them.",independent,"the photos,them",obj,plural
95,"First the photographer took them, and then she edited the photos.",cataphora,"them,the photos",obj,plural
96,"First the photographer takes the pictures, and then she edits them.",subordinate,"the pictures,them",obj,plural
97,"First, the photographer takes the pictures. Then, she edits them.",independent,"the pictures,them",obj,plural
98,"First the photographer takes them, and then she edits the pictures.",cataphora,"them,the pictures",obj,plural
99,"First the seller sees the paintings, and then she buys them.",subordinate,"the paintings,them",obj,plural
100,"First, the seller sees the paintings. Then, she buys them.",independent,"the paintings,them",obj,plural
101,"First the seller sees them, and then she buys the paintings.",cataphora,"them,the paintings",obj,plural
102,"First the seller buys the goods, and then she sells them.",subordinate,"the goods,them",obj,plural
103,"First, the seller buys the goods. Then, she sells them.",independent,"the goods,them",obj,plural
104,"First the seller buys them, and then she sells the goods.",cataphora,"them,the goods",obj,plural
105,"First the seller buys the items, and then she sells them.",subordinate,"the items,them",obj,plural
106,"First, the seller buys the items. Then, she sells them.",independent,"the items,them",obj,plural
107,"First the seller buys them, and then she sells the items.",cataphora,"them,the items",obj,plural
108,"First the artist makes the paintings, and then she sells them.",subordinate,"the paintings,them",obj,plural
109,"First, the artist makes the paintings. Then, she sells them.",independent,"the paintings,them",obj,plural
110,"First the artist makes them, and then she sells the paintings.",cataphora,"them,the paintings",obj,plural
111,"First the artist made the paintings, and then she sold them.",subordinate,"the paintings,them",obj,plural
112,"First, the artist made the paintings. Then, she sold them.",independent,"the paintings,them",obj,plural
113,"First the artist made them, and then she sold the paintings.",cataphora,"them,the paintings",obj,plural
114,"First the artist makes the pieces, and then she sells them.",subordinate,"the pieces,them",obj,plural
115,"First, the artist makes the pieces. Then, she sells them.",independent,"the pieces,them",obj,plural
116,"First the artist makes them, and then she sells the pieces.",cataphora,"them,the pieces",obj,plural
117,"First the teacher asks the questions, and then she answers them.",subordinate,"the questions,them",obj,plural
118,"First, the teacher asks the questions. Then, she answers them.",independent,"the questions,them",obj,plural
119,"First the teacher asks them, and then she answers the questions.",cataphora,"them,the questions",obj,plural
120,"First the teacher asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
121,"First, the teacher asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
122,"First the teacher asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
123,"First the teacher answers the questions, and then she explains them.",subordinate,"the questions,them",obj,plural
124,"First, the teacher answers the questions. Then, she explains them.",independent,"the questions,them",obj,plural
125,"First the teacher answers them, and then she explains the questions.",cataphora,"them,the questions",obj,plural
126,"First the client asks the questions, and then she answers them.",subordinate,"the questions,them",obj,plural
127,"First, the client asks the questions. Then, she answers them.",independent,"the questions,them",obj,plural
128,"First the client asks them, and then she answers the questions.",cataphora,"them,the questions",obj,plural
129,"First the client answers the questions, and then she answers them.",subordinate,"the questions,them",obj,plural
130,"First, the client answers the questions. Then, she answers them.",independent,"the questions,them",obj,plural
131,"First the client answers them, and then she answers the questions.",cataphora,"them,the questions",obj,plural
132,"First the client makes the rules, and then she follows them.",subordinate,"the rules,them",obj,plural
133,"First, the client makes the rules. Then, she follows them.",independent,"the rules,them",obj,plural
134,"First the client makes them, and then she follows the rules.",cataphora,"them,the rules",obj,plural
135,"First the student asks the questions, and then she answers them.",subordinate,"the questions,them",obj,plural
136,"First, the student asks the questions. Then, she answers them.",independent,"the questions,them",obj,plural
137,"First the student asks them, and then she answers the questions.",cataphora,"them,the questions",obj,plural
138,"First the student answers the questions, and then she answers them.",subordinate,"the questions,them",obj,plural
139,"First, the student answers the questions. Then, she answers them.",independent,"the questions,them",obj,plural
140,"First the student answers them, and then she answers the questions.",cataphora,"them,the questions",obj,plural
141,"First the student asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
142,"First, the student asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
143,"First the student asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
144,"First the queen opened the doors, and then she closed them.",subordinate,"the doors,them",obj,plural
145,"First, the queen opened the doors. Then, she closed them.",independent,"the doors,them",obj,plural
146,"First the queen opened them, and then she closed the doors.",cataphora,"them,the doors",obj,plural
147,"First the queen asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
148,"First, the queen asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
149,"First the queen asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
150,"First the queen opened the doors, and then she shut them.",subordinate,"the doors,them",obj,plural
151,"First, the queen opened the doors. Then, she shut them.",independent,"the doors,them",obj,plural
152,"First the queen opened them, and then she shut the doors.",cataphora,"them,the doors",obj,plural
153,"First the princess asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
154,"First, the princess asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
155,"First the princess asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
156,"First the princess opened the doors, and then she closed them.",subordinate,"the doors,them",obj,plural
157,"First, the princess opened the doors. Then, she closed them.",independent,"the doors,them",obj,plural
158,"First the princess opened them, and then she closed the doors.",cataphora,"them,the doors",obj,plural
159,"First the princess opened the doors, and then she shut them.",subordinate,"the doors,them",obj,plural
160,"First, the princess opened the doors. Then, she shut them.",independent,"the doors,them",obj,plural
161,"First the princess opened them, and then she shut the doors.",cataphora,"them,the doors",obj,plural
162,"First the witch raped the children, and then she killed them.",subordinate,"the children,them",obj,plural
163,"First, the witch raped the children. Then, she killed them.",independent,"the children,them",obj,plural
164,"First the witch raped them, and then she killed the children.",cataphora,"them,the children",obj,plural
165,"First the witch killed the children, and then she ate them.",subordinate,"the children,them",obj,plural
166,"First, the witch killed the children. Then, she ate them.",independent,"the children,them",obj,plural
167,"First the witch killed them, and then she ate the children.",cataphora,"them,the children",obj,plural
168,"First the witch stole the books, and then she burned them.",subordinate,"the books,them",obj,plural
169,"First, the witch stole the books. Then, she burned them.",independent,"the books,them",obj,plural
170,"First the witch stole them, and then she burned the books.",cataphora,"them,the books",obj,plural
171,"First the hostess asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
172,"First, the hostess asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
173,"First the hostess asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
174,"First the hostess asks the questions, and then she answers them.",subordinate,"the questions,them",obj,plural
175,"First, the hostess asks the questions. Then, she answers them.",independent,"the questions,them",obj,plural
176,"First the hostess asks them, and then she answers the questions.",cataphora,"them,the questions",obj,plural
177,"First the hostess opens the doors, and then she closes them.",subordinate,"the doors,them",obj,plural
178,"First, the hostess opens the doors. Then, she closes them.",independent,"the doors,them",obj,plural
179,"First the hostess opens them, and then she closes the doors.",cataphora,"them,the doors",obj,plural
0,"The man met the woman, and they married.",subordinate,"the woman,they",obj_subj,plural
1,The man met the woman. They married.,independent,"the woman,They",obj_subj,plural
2,"The man met them, and the woman married.",cataphora,"them,the woman",obj_subj,plural
3,"The man called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
4,The man called the police. They arrived.,independent,"the police,They",obj_subj,plural
5,"The man called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
6,"The man stabbed the victims, and they died.",subordinate,"the victims,they",obj_subj,plural
7,The man stabbed the victims. They died.,independent,"the victims,They",obj_subj,plural
8,"The man stabbed them, and the victims died.",cataphora,"them,the victims",obj_subj,plural
9,"The client signs the contract, and they leave.",subordinate,"the contract,they",obj_subj,plural
10,The client signs the contract. They leave.,independent,"the contract,They",obj_subj,plural
11,"The client signs them, and the contract leave.",cataphora,"them,the contract",obj_subj,plural
12,"The client calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
13,The client calls the police. They investigate.,independent,"the police,They",obj_subj,plural
14,"The client calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
15,"The client tells the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
16,The client tells the police. They investigate.,independent,"the police,They",obj_subj,plural
17,"The client tells them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
18,"The mayor called the police, and they came.",subordinate,"the police,they",obj_subj,plural
19,The mayor called the police. They came.,independent,"the police,They",obj_subj,plural
20,"The mayor called them, and the police came.",cataphora,"them,the police",obj_subj,plural
21,"The mayor called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
22,The mayor called the police. They arrived.,independent,"the police,They",obj_subj,plural
23,"The mayor called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
24,"The mayor called the police, and they responded.",subordinate,"the police,they",obj_subj,plural
25,The mayor called the police. They responded.,independent,"the police,They",obj_subj,plural
26,"The mayor called them, and the police responded.",cataphora,"them,the police",obj_subj,plural
27,"The reporter called the police, and they responded.",subordinate,"the police,they",obj_subj,plural
28,The reporter called the police. They responded.,independent,"the police,They",obj_subj,plural
29,"The reporter called them, and the police responded.",cataphora,"them,the police",obj_subj,plural
30,"The reporter called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
31,The reporter called the police. They arrived.,independent,"the police,They",obj_subj,plural
32,"The reporter called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
33,"The reporter calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
34,The reporter calls the police. They investigate.,independent,"the police,They",obj_subj,plural
35,"The reporter calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
36,"The resident called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
37,The resident called the police. They arrived.,independent,"the police,They",obj_subj,plural
38,"The resident called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
39,"The resident called the police, and they responded.",subordinate,"the police,they",obj_subj,plural
40,The resident called the police. They responded.,independent,"the police,They",obj_subj,plural
41,"The resident called them, and the police responded.",cataphora,"them,the police",obj_subj,plural
42,"The resident confronted the suspects, and they fled.",subordinate,"the suspects,they",obj_subj,plural
43,The resident confronted the suspects. They fled.,independent,"the suspects,They",obj_subj,plural
44,"The resident confronted them, and the suspects fled.",cataphora,"them,the suspects",obj_subj,plural
45,"The president addressed the crowd, and they applauded.",subordinate,"the crowd,they",obj_subj,plural
46,The president addressed the crowd. They applauded.,independent,"the crowd,They",obj_subj,plural
47,"The president addressed them, and the crowd applauded.",cataphora,"them,the crowd",obj_subj,plural
48,"The president called the senators, and they listened.",subordinate,"the senators,they",obj_subj,plural
49,The president called the senators. They listened.,independent,"the senators,They",obj_subj,plural
50,"The president called them, and the senators listened.",cataphora,"them,the senators",obj_subj,plural
51,"The president told the senators, and they listened.",subordinate,"the senators,they",obj_subj,plural
52,The president told the senators. They listened.,independent,"the senators,They",obj_subj,plural
53,"The president told them, and the senators listened.",cataphora,"them,the senators",obj_subj,plural
54,"The employee calls the police, and they arrive.",subordinate,"the police,they",obj_subj,plural
55,The employee calls the police. They arrive.,independent,"the police,They",obj_subj,plural
56,"The employee calls them, and the police arrive.",cataphora,"them,the police",obj_subj,plural
57,"The employee calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
58,The employee calls the police. They investigate.,independent,"the police,They",obj_subj,plural
59,"The employee calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
60,"The employee alerted the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
61,The employee alerted the police. They arrived.,independent,"the police,They",obj_subj,plural
62,"The employee alerted them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
63,"The volunteer called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
64,The volunteer called the police. They arrived.,independent,"the police,They",obj_subj,plural
65,"The volunteer called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
66,"The volunteer calls the police, and they arrive.",subordinate,"the police,they",obj_subj,plural
67,The volunteer calls the police. They arrive.,independent,"the police,They",obj_subj,plural
68,"The volunteer calls them, and the police arrive.",cataphora,"them,the police",obj_subj,plural
69,"The volunteer calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
70,The volunteer calls the police. They investigate.,independent,"the police,They",obj_subj,plural
71,"The volunteer calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
72,"The seller signed the papers, and they left.",subordinate,"the papers,they",obj_subj,plural
73,The seller signed the papers. They left.,independent,"the papers,They",obj_subj,plural
74,"The seller signed them, and the papers left.",cataphora,"them,the papers",obj_subj,plural
75,"The seller called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
76,The seller called the police. They arrived.,independent,"the police,They",obj_subj,plural
77,"The seller called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
78,"The seller calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
79,The seller calls the police. They investigate.,independent,"the police,They",obj_subj,plural
80,"The seller calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
81,"The singer calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
82,The singer calls the police. They investigate.,independent,"the police,They",obj_subj,plural
83,"The singer calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
84,"The singer called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
85,The singer called the police. They arrived.,independent,"the police,They",obj_subj,plural
86,"The singer called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
87,"The singer called the police, and they responded.",subordinate,"the police,they",obj_subj,plural
88,The singer called the police. They responded.,independent,"the police,They",obj_subj,plural
89,"The singer called them, and the police responded.",cataphora,"them,the police",obj_subj,plural
90,"The doctor called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
91,The doctor called the police. They arrived.,independent,"the police,They",obj_subj,plural
92,"The doctor called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
93,"The doctor called the police, and they came.",subordinate,"the police,they",obj_subj,plural
94,The doctor called the police. They came.,independent,"the police,They",obj_subj,plural
95,"The doctor called them, and the police came.",cataphora,"them,the police",obj_subj,plural
96,"The doctor called the police, and they responded.",subordinate,"the police,they",obj_subj,plural
97,The doctor called the police. They responded.,independent,"the police,They",obj_subj,plural
98,"The doctor called them, and the police responded.",cataphora,"them,the police",obj_subj,plural
99,"The model met the photographer, and they clicked.",subordinate,"the photographer,they",obj_subj,plural
100,The model met the photographer. They clicked.,independent,"the photographer,They",obj_subj,plural
101,"The model met them, and the photographer clicked.",cataphora,"them,the photographer",obj_subj,plural
102,"The model met the designer, and they clicked.",subordinate,"the designer,they",obj_subj,plural
103,The model met the designer. They clicked.,independent,"the designer,They",obj_subj,plural
104,"The model met them, and the designer clicked.",cataphora,"them,the designer",obj_subj,plural
105,"The model met the agent, and they met.",subordinate,"the agent,they",obj_subj,plural
106,The model met the agent. They met.,independent,"the agent,They",obj_subj,plural
107,"The model met them, and the agent met.",cataphora,"them,the agent",obj_subj,plural
108,"The artist meets the artist, and they connect.",subordinate,"the artist,they",obj_subj,plural
109,The artist meets the artist. They connect.,independent,"the artist,They",obj_subj,plural
110,"The artist meets them, and the artist connect.",cataphora,"them,the artist",obj_subj,plural
111,"The artist meets the artist, and they meet.",subordinate,"the artist,they",obj_subj,plural
112,The artist meets the artist. They meet.,independent,"the artist,They",obj_subj,plural
113,"The artist meets them, and the artist meet.",cataphora,"them,the artist",obj_subj,plural
114,"The artist meets the writer, and they connect.",subordinate,"the writer,they",obj_subj,plural
115,The artist meets the writer. They connect.,independent,"the writer,They",obj_subj,plural
116,"The artist meets them, and the writer connect.",cataphora,"them,the writer",obj_subj,plural
117,"The owner called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
118,The owner called the police. They arrived.,independent,"the police,They",obj_subj,plural
119,"The owner called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
120,"The owner calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
121,The owner calls the police. They investigate.,independent,"the police,They",obj_subj,plural
122,"The owner calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
123,"The owner calls the police, and they arrive.",subordinate,"the police,they",obj_subj,plural
124,The owner calls the police. They arrive.,independent,"the police,They",obj_subj,plural
125,"The owner calls them, and the police arrive.",cataphora,"them,the police",obj_subj,plural
126,"The parent calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
127,The parent calls the police. They investigate.,independent,"the police,They",obj_subj,plural
128,"The parent calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
129,"The parent meets the child, and they bond.",subordinate,"the child,they",obj_subj,plural
130,The parent meets the child. They bond.,independent,"the child,They",obj_subj,plural
131,"The parent meets them, and the child bond.",cataphora,"them,the child",obj_subj,plural
132,"The parent calls the police, and they arrive.",subordinate,"the police,they",obj_subj,plural
133,The parent calls the police. They arrive.,independent,"the police,They",obj_subj,plural
134,"The parent calls them, and the police arrive.",cataphora,"them,the police",obj_subj,plural
135,"The athlete tells the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
136,The athlete tells the police. They investigate.,independent,"the police,They",obj_subj,plural
137,"The athlete tells them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
138,"The athlete calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
139,The athlete calls the police. They investigate.,independent,"the police,They",obj_subj,plural
140,"The athlete calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
141,"The athlete calls the police, and they arrive.",subordinate,"the police,they",obj_subj,plural
142,The athlete calls the police. They arrive.,independent,"the police,They",obj_subj,plural
143,"The athlete calls them, and the police arrive.",cataphora,"them,the police",obj_subj,plural
144,"The actress calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
145,The actress calls the police. They investigate.,independent,"the police,They",obj_subj,plural
146,"The actress calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
147,"The actress called the police, and they responded.",subordinate,"the police,they",obj_subj,plural
148,The actress called the police. They responded.,independent,"the police,They",obj_subj,plural
149,"The actress called them, and the police responded.",cataphora,"them,the police",obj_subj,plural
150,"The actress met the actor, and they clicked.",subordinate,"the actor,they",obj_subj,plural
151,The actress met the actor. They clicked.,independent,"the actor,They",obj_subj,plural
152,"The actress met them, and the actor clicked.",cataphora,"them,the actor",obj_subj,plural
153,"The member calls the police, and they arrive.",subordinate,"the police,they",obj_subj,plural
154,The member calls the police. They arrive.,independent,"the police,They",obj_subj,plural
155,"The member calls them, and the police arrive.",cataphora,"them,the police",obj_subj,plural
156,"The member calls the police, and they investigate.",subordinate,"the police,they",obj_subj,plural
157,The member calls the police. They investigate.,independent,"the police,They",obj_subj,plural
158,"The member calls them, and the police investigate.",cataphora,"them,the police",obj_subj,plural
159,"The member pulls the trigger, and they die.",subordinate,"the trigger,they",obj_subj,plural
160,The member pulls the trigger. They die.,independent,"the trigger,They",obj_subj,plural
161,"The member pulls them, and the trigger die.",cataphora,"them,the trigger",obj_subj,plural
162,"The soldier pulls the trigger, and they die.",subordinate,"the trigger,they",obj_subj,plural
163,The soldier pulls the trigger. They die.,independent,"the trigger,They",obj_subj,plural
164,"The soldier pulls them, and the trigger die.",cataphora,"them,the trigger",obj_subj,plural
165,"The soldier pulls the trigger, and they shoot.",subordinate,"the trigger,they",obj_subj,plural
166,The soldier pulls the trigger. They shoot.,independent,"the trigger,They",obj_subj,plural
167,"The soldier pulls them, and the trigger shoot.",cataphora,"them,the trigger",obj_subj,plural
168,"The soldier stabbed the women, and they died.",subordinate,"the women,they",obj_subj,plural
169,The soldier stabbed the women. They died.,independent,"the women,They",obj_subj,plural
170,"The soldier stabbed them, and the women died.",cataphora,"them,the women",obj_subj,plural
171,"The protester called the police, and they arrived.",subordinate,"the police,they",obj_subj,plural
172,The protester called the police. They arrived.,independent,"the police,They",obj_subj,plural
173,"The protester called them, and the police arrived.",cataphora,"them,the police",obj_subj,plural
174,"The protester called the police, and they responded.",subordinate,"the police,they",obj_subj,plural
175,The protester called the police. They responded.,independent,"the police,They",obj_subj,plural
176,"The protester called them, and the police responded.",cataphora,"them,the police",obj_subj,plural
177,"The protester calls the police, and they arrive.",subordinate,"the police,they",obj_subj,plural
178,The protester calls the police. They arrive.,independent,"the police,They",obj_subj,plural
179,"The protester calls them, and the police arrive.",cataphora,"them,the police",obj_subj,plural
0,"The family tried, but they failed.",subordinate,"The family,they",subj,collective
1,"The family tried. However, they failed.",independent,"The family,they",subj,collective
2,"Even though they tried, the family failed.",cataphora,"they,the family",subj,collective
3,"The family fled, but they survived.",subordinate,"The family,they",subj,collective
4,"The family fled. However, they survived.",independent,"The family,they",subj,collective
5,"Even though they fled, the family survived.",cataphora,"they,the family",subj,collective
6,"The family trie, but they fail.",subordinate,"The family,they",subj,collective
7,"The family trie. However, they fail.",independent,"The family,they",subj,collective
8,"Even though they trie, the family fail.",cataphora,"they,the family",subj,collective
9,"The couple tried, but they failed.",subordinate,"The couple,they",subj,collective
10,"The couple tried. However, they failed.",independent,"The couple,they",subj,collective
11,"Even though they tried, the couple failed.",cataphora,"they,the couple",subj,collective
12,"The couple argued, but they lost.",subordinate,"The couple,they",subj,collective
13,"The couple argued. However, they lost.",independent,"The couple,they",subj,collective
14,"Even though they argued, the couple lost.",cataphora,"they,the couple",subj,collective
15,"The couple argue, but they lose.",subordinate,"The couple,they",subj,collective
16,"The couple argue. However, they lose.",independent,"The couple,they",subj,collective
17,"Even though they argue, the couple lose.",cataphora,"they,the couple",subj,collective
18,"The audience knew, but they waited.",subordinate,"The audience,they",subj,collective
19,"The audience knew. However, they waited.",independent,"The audience,they",subj,collective
20,"Even though they knew, the audience waited.",cataphora,"they,the audience",subj,collective
21,"The audience roared, but they lost.",subordinate,"The audience,they",subj,collective
22,"The audience roared. However, they lost.",independent,"The audience,they",subj,collective
23,"Even though they roared, the audience lost.",cataphora,"they,the audience",subj,collective
24,"The audience hesitated, but they listened.",subordinate,"The audience,they",subj,collective
25,"The audience hesitated. However, they listened.",independent,"The audience,they",subj,collective
26,"Even though they hesitated, the audience listened.",cataphora,"they,the audience",subj,collective
27,"The flock die, but they survive.",subordinate,"The flock,they",subj,collective
28,"The flock die. However, they survive.",independent,"The flock,they",subj,collective
29,"Even though they die, the flock survive.",cataphora,"they,the flock",subj,collective
30,"The flock trie, but they fail.",subordinate,"The flock,they",subj,collective
31,"The flock trie. However, they fail.",independent,"The flock,they",subj,collective
